Time,MIDI_Note,Note_Label,Pitch,Power,Spectral_Centroid
0.0,29,F1,0.0,0.0,0.0
0.0,41,F2,0.0,0.0,0.0
0.0,65,F4,0.0,0.0,0.0
1.5,77,F5,364.5631103515625,0.11710754036903381,4254.410301025842
1.5,65,F4,364.5631103515625,0.11710754036903381,4254.410301025842
3.0,60,C4,1162.037109375,0.05983707681298256,4257.535248308456
3.0,65,F4,1162.037109375,0.05983707681298256,4257.535248308456
3.0,69,A4,1162.037109375,0.05983707681298256,4257.535248308456
3.0,53,F3,1162.037109375,0.05983707681298256,4257.535248308456
3.0,41,F2,1162.037109375,0.05983707681298256,4257.535248308456
3.0,65,F4,1162.037109375,0.05983707681298256,4257.535248308456
3.0,53,F3,1162.037109375,0.05983707681298256,4257.535248308456
3.0,77,F5,1162.037109375,0.05983707681298256,4257.535248308456
3.0,60,C4,1162.037109375,0.05983707681298256,4257.535248308456
3.0,65,F4,1162.037109375,0.05983707681298256,4257.535248308456
3.0,53,F3,1162.037109375,0.05983707681298256,4257.535248308456
3.0,72,C5,1162.037109375,0.05983707681298256,4257.535248308456
3.0,69,A4,1162.037109375,0.05983707681298256,4257.535248308456
3.75,65,F4,885.9597778320312,0.08936891704797745,1875.6742091865426
4.125,67,G4,224.48434448242188,0.1831885129213333,843.321898384324
4.125,67,G4,224.48434448242188,0.1831885129213333,843.321898384324
4.125,55,G3,224.48434448242188,0.1831885129213333,843.321898384324
4.5,69,A4,227.8084716796875,0.029116380959749222,2081.585031657417
4.5,69,A4,227.8084716796875,0.029116380959749222,2081.585031657417
4.5,57,A3,227.8084716796875,0.029116380959749222,2081.585031657417
4.875,71,B4,854.0171508789062,0.05390624701976776,3601.4041012032553
4.875,71,B4,854.0171508789062,0.05390624701976776,3601.4041012032553
4.875,59,B3,854.0171508789062,0.05390624701976776,3601.4041012032553
5.625,72,C5,1113.6524658203125,0.05979834124445915,2077.6901527455725
6.0,60,C4,744.487548828125,0.010287259705364704,3347.44339657407
6.0,69,A4,744.487548828125,0.010287259705364704,3347.44339657407
6.0,64,E4,744.487548828125,0.010287259705364704,3347.44339657407
6.0,40,E2,744.487548828125,0.010287259705364704,3347.44339657407
6.0,52,E3,744.487548828125,0.010287259705364704,3347.44339657407
6.0,69,A4,744.487548828125,0.010287259705364704,3347.44339657407
6.0,57,A3,744.487548828125,0.010287259705364704,3347.44339657407
6.0,69,A4,744.487548828125,0.010287259705364704,3347.44339657407
6.0,72,C5,744.487548828125,0.010287259705364704,3347.44339657407
6.0,64,E4,744.487548828125,0.010287259705364704,3347.44339657407
6.75,64,E4,0.0,0.004725705366581678,3836.707001394218
6.75,71,B4,0.0,0.004725705366581678,3836.707001394218
6.75,59,B3,0.0,0.004725705366581678,3836.707001394218
6.9375,67,G4,0.0,0.0051039098761975765,3830.6717142318525
7.125,69,A4,0.0,0.0034209268633276224,3577.220394621839
7.3125,71,B4,0.0,0.001802543643862009,4009.9775985830897
7.5,72,C5,1111.468505859375,0.00112248701043427,3701.111368760541
7.5,69,A4,1111.468505859375,0.00112248701043427,3701.111368760541
7.5,57,A3,1111.468505859375,0.00112248701043427,3701.111368760541
7.875,71,B4,0.0,0.00034295901423320174,3761.853539067433
8.25,69,A4,0.0,0.0,0.0
8.25,67,G4,0.0,0.0,0.0
8.25,55,G3,0.0,0.0,0.0
8.625,67,G4,0.0,0.0,0.0
9.0,62,D4,0.0,0.0,0.0
9.0,69,A4,0.0,0.0,0.0
9.0,65,F4,0.0,0.0,0.0
9.0,38,D2,0.0,0.0,0.0
